"D_ab","x_a_init","x_a_non","e_hat_a","x_b_init","x_b_non","e_hat_b","NPV_a_hat","NPV_b_hat","x_a_so","e_star_a","x_b_so","e_star_b","NPV_a_star","NPV_b_star","x_a_soa","e_a_star","x_b_soa","NPV_ea_star","NPV_eb_star","WTP_A","WTA_B","accept","reserve_npv_coop","reserve_npv_non","coop_npv_non","reserve_vs_non_x","reserve_vs_coop_x"
0,55.6,0,0,88.9,0,0,556,889,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5158.66111249174,994.948700608244,55.9842648569621,30.0351234978018,33.3703032782139,5623.35989032028,7306.86885097805,5067.35989032028,889,4178.35989032028,-530.249922779707,4178.35989032028,4708.60981309998,89.354568135176,144.812557710065
0,55.6,0,0,100,0,0,556,1000,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5158.66111249174,1105.94870060824,54.5345636417115,29.0438870225434,32.3252941840213,5610.16834508152,7236.41990441431,5054.16834508152,1000,4054.16834508152,-654.441468018468,4054.16834508152,4708.60981309998,86.8598578257328,144.812557710065
0,66.7,0,0,0.1,0,0,667,1,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4735.39518208158,480.121091214569,80.9347937990283,51.0797564164927,54.795264573005,5139.30115582916,10183.7151612508,4472.30115582916,1,4471.30115582916,-76.2151174669889,4471.30115582916,4547.51627329615,135.730058372033,144.812557710065
0,66.7,0,0,11.2,0,0,667,112,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,4915.42460881901,498.500956183224,75.1342806027679,45.2740218171838,49.0225888182565,5406.6421314209,9256.81666337403,4739.6421314209,112,4627.6421314209,-7.28343358133316,4627.6421314209,4634.92556500224,124.156869421024,144.812557710065
0,66.7,0,0,22.3,0,0,667,223,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5038.43904622137,528.827307584512,70.1482266038625,40.8316520705685,44.5368836095247,5538.43569851793,8568.35074793378,4871.43569851793,223,4648.43569851793,-28.8306552879521,4648.43569851793,4677.26635380589,114.685110213387,144.812557710065
0,66.7,0,0,33.4,0,0,667,334,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5165.14610280753,535.960299064385,68.9655547701238,39.8369153670364,43.5240076516934,5658.12714507065,8524.41097307949,4991.12714507065,334,4657.12714507065,-42.9792568012672,4657.12714507065,4700.10640187191,112.489562421817,144.812557710065
0,66.7,0,0,44.5,0,0,667,445,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5260.69223880753,559.846833064385,65.6571018998195,37.1568947268169,40.7793645496546,5715.69076868087,8154.5340842911,5048.69076868087,445,4603.69076868087,-104.848303191046,4603.69076868087,4708.53907187191,106.436466449474,144.812557710065
0,66.7,0,0,55.6,0,0,667,556,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5269.66111249174,661.948700608244,62.6850709697574,34.8649574218691,38.4135900796039,5743.17303371149,7852.08210683641,5076.17303371149,556,4520.17303371149,-188.436779388494,4520.17303371149,4708.60981309998,101.098661049361,144.812557710065
0,66.7,0,0,66.7,0,0,667,667,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5269.66111249174,772.948700608244,60.0712843885724,32.9292132628105,36.4018486839909,5750.5874072342,7612.25388594862,5083.5874072342,667,4416.5874072342,-292.022405865781,4416.5874072342,4708.60981309998,96.4731330725633,144.812557710065
0,66.7,0,0,77.8,0,0,667,778,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5269.66111249174,883.948700608244,57.833116192343,31.3254247085298,34.7254572229583,5745.66381212173,7431.42940294678,5078.66381212173,778,4300.66381212173,-407.946000978259,4300.66381212173,4708.60981309998,92.5585734153014,144.812557710065
0,66.7,0,0,88.9,0,0,667,889,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5269.66111249174,994.948700608244,55.9843126134659,30.0351564421167,33.3703379523902,5734.36190993373,7306.87528608363,5067.36190993373,889,4178.36190993373,-530.24790316625,4178.36190993373,4708.60981309998,89.3546505658561,144.812557710065
0,66.7,0,0,100,0,0,667,1000,72.4062788550323,45.6140350877193,48.5909510618652,45.6140350877193,5269.66111249174,1105.94870060824,54.5354013738474,29.0444548077971,32.3258937607634,5721.20570965927,7236.53113207507,5054.20570965927,1000,4054.20570965927,-654.404103440713,4054.20570965927,4708.60981309998,86.8612951346108,144.812557710065
