species,family,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,Class,pred_50,pred_05,pred_95,pred_25,pred_75,observed_homerange,predicted_homerange,predicted_pld,observed_pld,home_range,pld,magnitude_homerange,month_pld,class,class2,class3,spec_code,genus,order,ocean,basin,food_i,food_mode,temp_min,temp_max,climate,body_shape_i,temp_cons,sp_richness,circadian,dev_place,longevity_wild,temp_preferred,fecundity_mean,oxygen_cons,temp_range,iucn_category,fb_name
Fistularia corneta,Fistulariidae,792500,habitat_reef,pelagic neritic,106,NA,2562.3175791475433,0.858533703,4.481651192263376,Actinopteri,0.029410133,0.029410133,220.62499999999991,0.007726488,0.75925,NA,0.070742686,35.144509560317516,NA,0.070742686,35.144509560317516,-2,2,2,2: low/mid,2,8289,Fistularia,Syngnathiformes,Pacific,East,nekton,specialist,NA,NA,"subtropical, temperate, tropical",elongated,NA,4,NA,planktonic,NA,23,2885045.223853211,NA,NA,LC,Pacific cornetfish
Gadiculus argenteus,Gadidae,1740000,habitat_deep,pelagic oceanic,15.25,NA,159.7449862704669,0.917086686,3.6,Actinopteri,0.020686774,0.020686774,0.4193772781428161,8.129999999999997e-6,0.32,NA,0.002929598,37.48686894285712,NA,0.002929598,37.48686894285712,-3,2,2,2: low/mid,2,1875,Gadiculus,Gadiformes,"Atlantic, Mediterranean and Black Sea",East,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, subtropical, temperate",fusiform / normal,NA,22,NA,planktonic,3,7.055555555555555,2885045.223853211,121.0634536097561,9.333333333333334,LC,Silvery pout
Gadus macrocephalus,Gadidae,2920000,habitat_deep,demersal,119,NA,1100617.3581635745,0.254822292,3.97,Actinopteri,0.040637322,0.040637322,9.919689167316458,0.017712,0.4370039698814461,NA,0.058500241,47.69530642380952,NA,0.058500241,47.69530642380952,-2,2,2,2: low/mid,2,308,Gadus,Gadiformes,"Arctic Ocean, Atlantic, Pacific",Both,"nekton, others, plants, zoobenthos, zooplankton",generalist,6,9,"boreal, polar, subtropical, temperate",fusiform / normal,4.125,22,NA,planktonic,25,6,2885045.223853211,68.8675,3,NA,Pacific cod
Gadus morhua,Gadidae,4322500,migratory,benthopelagic,200,atlantic cod,1024823.8232062228,0.368813682,4.09,Actinopteri,0.5246496420113842,0.5246496420113842,69.37218462755803,0.030306525,7.780000000000001,0.5246496420113842,0.5297858914214808,84.57648847777774,120.25,0.5246496420113842,120.25,-1,5,9,4: mid/veryhigh,4,69,Gadus,Gadiformes,"Arctic Ocean, Atlantic, Mediterranean and Black Sea",Both,"nekton, others, plants, zoobenthos, zooplankton",generalist,NA,NA,"boreal, polar, subtropical, temperate, tropical",fusiform / normal,11.195364238410596,22,nocturnal,planktonic,25,5.25,2885045.223853211,127.71091390728476,9,VU,Atlantic cod
Galeoides decadactylus,Polynemidae,197500,habitat_coastal,demersal,50,NA,44470.1575,0.50957181519999994,3.6131111475182696,Actinopteri,0.003297,0.003297,4.438338372845683,6.45e-6,0.3026,NA,0.00364607,35.51666297301587,NA,0.00364607,35.51666297301587,-3,2,2,2: low/mid,2,341,Galeoides,Carangaria/misc,"Atlantic, Mediterranean and Black Sea",East,"detritus, nekton, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, tropical",fusiform / normal,NA,42,NA,NA,20,25,2885045.223853211,NA,4,NT,Lesser African threadfin
Gasterochisma melampus,Scombridae,63335000,deep,pelagic oceanic,164,NA,20.80741126273528,0.596518223,4.3415640882722295,Actinopteri,23.228980814668287,23.228980814668287,93840.98601709104,0.007641758,24.632494545075147,NA,2.675859415069051,41.027342044444424,NA,2.675859415069051,41.027342044444424,0,2,4,5: mid/mid,5,100,Gasterochisma,Scombriformes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, others, zoobenthos",generalist,NA,NA,"polar, subtropical, temperate, tropical",fusiform / normal,NA,54,NA,NA,12.33529416252585,24.90909090909091,2885045.223853211,524.3454545454546,6.5,LC,Butterfly kingfish
Gasterosteus aculeatus,Gasterosteidae,6017500,habitat_coastal,benthopelagic,11,NA,579.8245284,0.997632856,3.31,Actinopteri,0.0013065,0.0013065,10.48565514132791,8.129999999999997e-6,0.32,NA,0.002922167,37.26381717619047,35,0.002922167,35,-3,2,2,2: low/mid,2,2420,Gasterosteus,Perciformes/Gasterosteoidei,"Arctic Ocean, Atlantic, Mediterranean and Black Sea, Pacific",Both,"nekton, plants, zoobenthos, zooplankton",generalist,4,20,"boreal, polar, subtropical, temperate",fusiform / normal,10.75,18,NA,non-planktonic,8,7,2885045.223853211,275.32083083333333,16,LC,Three-spined stickleback
Genyonemus lineatus,Sciaenidae,135000,habitat_benthic,benthopelagic,41,NA,822.3303961893151,0.624615121,3.4823631837932005,Actinopteri,0.003297,0.003297,0.77,6.45e-6,0.060991803,NA,0.001168934,41.59549947936503,NA,0.001168934,41.59549947936503,-3,2,2,2: low/mid,2,422,Genyonemus,Eupercaria/misc,Pacific,East,"nekton, zoobenthos",generalist,NA,NA,"subtropical, temperate",fusiform / normal,NA,286,NA,planktonic,15,13,2885045.223853211,525.6001112222223,7.125,NT,White croaker
Genypterus blacodes,Ophidiidae,2330000,habitat_benthic,bathydemersal,200,NA,209832.9261086881,0.130878043,4.182798704,Actinopteri,0.025016,0.025016,39.830000000000005,0.0017922,0.75925,NA,0.05113201,56.68640933333328,NA,0.05113201,56.68640933333328,-2,2,2,2: low/mid,2,482,Genypterus,Ophidiiformes,"Atlantic, Indian Ocean, Pacific",Both,"nekton, zoobenthos, zooplankton",generalist,NA,NA,"subtropical, temperate, tropical",elongated,NA,259,NA,NA,30,16,1200000,6.72,5.000000477,NA,Pink cusk-eel
Genypterus capensis,Ophidiidae,127500,habitat_benthic,bathydemersal,180,NA,24613.76694431495,0.18214067,4.4256163506669175,Actinopteri,0.0017922,0.0017922,27.31971049731631,6.45e-6,0.054107361,NA,0.005912194,49.36957740952373,NA,0.005912194,49.36957740952373,-3,2,2,2: low/mid,2,485,Genypterus,Ophidiiformes,Atlantic,East,"nekton, zoobenthos",generalist,NA,NA,"subtropical, tropical",elongated,NA,259,NA,NA,30,21,2885045.223853211,6.72,5.000000477,NA,Kingklip
